run_name,blocks,k,beta,init_mode,baseline_ppl,sq_baseline_ppl,quantized_ppl,delta_ppl,sq_gain,rel_linear_error,recon_w,recon_x,beta_plot
t_block_indices_8-9-10-11__q_beta_0__init_mode_pca__error_mode_relative,8-9-10-11,4,0.0,pca,23.500642776489258,197.9382781982422,50.340858459472656,26.8402156829834,147.59741973876953,0.15313030660609978,0.09403607320058174,0.05095141528078119,0.001
t_block_indices_8-9-10-11__q_beta_1__init_mode_random__error_mode_relative,8-9-10-11,4,1.0,random,23.500642776489258,197.9382781982422,34.03472137451172,10.534078598022461,163.90355682373047,0.09569836743436314,0.040765826961275925,0.05723932821063067,1.0
t_block_indices_8-9-10-11__q_beta_2__init_mode_random__error_mode_relative,8-9-10-11,4,2.0,random,23.500642776489258,197.9382781982422,35.139625549316406,11.638982772827148,162.79865264892578,0.09479211114951365,0.03401576998019355,0.05886161124178127,2.0
t_block_indices_8-9-10-11__q_beta_5__init_mode_random__error_mode_relative,8-9-10-11,4,5.0,random,23.500642776489258,197.9382781982422,35.965370178222656,12.464727401733398,161.97290802001953,0.09825261552977374,0.030871909070235713,0.06237663959951648,5.0
t_block_indices_8-9-10-11__q_beta_0.5__init_mode_random__error_mode_relative,8-9-10-11,4,0.5,random,23.500642776489258,197.9382781982422,36.33802795410156,12.837385177612305,161.60025024414062,0.10188924272739167,0.0521463235129714,0.05636468025379008,0.5
t_block_indices_8-9-10-11__q_beta_10__init_mode_random__error_mode_relative,8-9-10-11,4,10.0,random,23.500642776489258,197.9382781982422,37.14101028442383,13.64036750793457,160.79726791381836,0.09904648049260777,0.030713392783490813,0.0657309324161885,10.0
t_block_indices_8-9-10-11__q_beta_0.1__init_mode_random__error_mode_relative,8-9-10-11,4,0.1,random,23.500642776489258,197.9382781982422,37.9576416015625,14.456998825073242,159.9806365966797,0.11447833083319836,0.07591871206190007,0.05556818290338075,0.1
t_block_indices_8-9-10-11__q_beta_100__init_mode_random__error_mode_relative,8-9-10-11,4,100.0,random,23.500642776489258,197.9382781982422,38.86635971069336,15.365716934204102,159.07191848754883,0.10209229149859263,0.031701522814120454,0.0779742539984826,100.0
t_block_indices_8-9-10-11__q_beta_0.01__init_mode_random__error_mode_relative,8-9-10-11,4,0.01,random,23.500642776489258,197.9382781982422,39.17291259765625,15.672269821166992,158.76536560058594,0.1213144544241595,0.08911988402103657,0.05560816384050132,0.01
t_block_indices_8-9-10-11__q_beta_0__init_mode_random__error_mode_relative,8-9-10-11,4,0.0,random,23.500642776489258,197.9382781982422,39.734561920166016,16.233919143676758,158.20371627807617,0.12258978848424117,0.09258109338489194,0.05554102459509249,0.001
t_block_indices_8-9-10-11__q_beta_50__init_mode_random__error_mode_relative,8-9-10-11,4,50.0,random,23.500642776489258,197.9382781982422,39.88227081298828,16.381628036499023,158.0560073852539,0.10163762194535847,0.03170418588748981,0.07454797423292428,50.0
