last_k,method,layer_name,block_id,proj_type,rel_recon_error_x,rel_recon_error_w,rel_linear_error
10,SQ,block4.v_proj,-1,v_proj,0.3529840530218012,0.2919146543521267,0.884442493223753
10,SQ,block5.k_proj,-1,k_proj,0.37816562972269774,0.15023236889692587,0.1833934811123231
10,SQ,block5.out_proj,-1,out_proj,0.26595116923222506,0.25697084771922646,0.7943195933106312
10,SQ,block5.q_proj,-1,q_proj,0.37816562972269774,0.14777021194180184,0.2335481436729179
10,SQ,block5.v_proj,-1,v_proj,0.37816562972269774,0.09172030032185842,0.840691403568569
10,SQ,block6.k_proj,-1,k_proj,0.4709133499536154,0.1854589683521888,0.2165392003331373
10,SQ,block6.out_proj,-1,out_proj,0.27329270653361987,0.3402900552767991,0.7479203861783473
10,SQ,block6.q_proj,-1,q_proj,0.4709133499536154,0.11079349043419218,0.2597819628580668
10,SQ,block6.v_proj,-1,v_proj,0.4709133499536154,0.08164410749968819,0.8890318598907598
10,SQ,block7.k_proj,-1,k_proj,0.5977125983556141,0.24842006013819232,0.37609314618098616
10,SQ,block7.out_proj,-1,out_proj,0.41432781870687724,0.19651459283950534,1.0265609071577584
10,SQ,block7.q_proj,-1,q_proj,0.5977125983556141,0.13740411537738736,0.4465861884851384
10,SQ,block7.v_proj,-1,v_proj,0.5977125983556141,0.08552268644942587,0.8871628889938028
10,SQ,block8.k_proj,-1,k_proj,0.6692263717817375,0.3018235859286205,0.3685709150542909
10,SQ,block8.out_proj,-1,out_proj,0.21382708070101883,0.3482576490351197,0.7175701207346558
10,SQ,block8.q_proj,-1,q_proj,0.6692263717817375,0.1401364940360518,0.4971096439872817
10,SQ,block8.v_proj,-1,v_proj,0.6692263717817375,0.23751286070993102,0.9437627945578152
10,SQ,block9.k_proj,-1,k_proj,0.7694815181578895,0.2842154876541933,0.46141790103752506
10,SQ,block9.out_proj,-1,out_proj,0.23248291019693568,0.3625956989957487,0.6656107854417194
10,SQ,block9.q_proj,-1,q_proj,0.7694815181578895,0.15717979199822932,0.6157820737356559
10,SQ,block9.v_proj,-1,v_proj,0.7694815181578895,0.22490910238583534,0.9419084123204021
11,Ours,block1.k_proj,-1,k_proj,0.051589839947297454,0.09669351364198536,0.13222479686232905
11,Ours,block1.out_proj,-1,out_proj,0.04581701650263958,0.1396647339349791,0.22986871959826005
11,Ours,block1.q_proj,-1,q_proj,0.051825760118808434,0.13866537434922743,0.13841575564400227
11,Ours,block1.v_proj,-1,v_proj,0.05143662703469445,0.05110126049296904,0.1667961594613581
11,Ours,block10.k_proj,-1,k_proj,0.04914772019965337,0.03998400416936526,0.10495456190056641
11,Ours,block10.out_proj,-1,out_proj,0.06648278019250368,0.03333386710939205,0.15462742832608062
11,Ours,block10.q_proj,-1,q_proj,0.04917392715152218,0.03737816473307777,0.09381548930069247
11,Ours,block10.v_proj,-1,v_proj,0.04966483020654248,0.033503235615085725,0.11696579715989074
11,Ours,block11.k_proj,-1,k_proj,0.05073350761167575,0.03721139609655251,0.09893771598703492
11,Ours,block11.out_proj,-1,out_proj,0.05693389515899576,0.08075965029163248,0.22643633021369108
11,Ours,block11.q_proj,-1,q_proj,0.050693850210895286,0.036670340198684745,0.09953284361770948
11,Ours,block11.v_proj,-1,v_proj,0.050924648170611896,0.034539794216328336,0.12268027955576656
11,Ours,block2.k_proj,-1,k_proj,0.03418851048404597,0.05491283784632248,0.11926505076292078
11,Ours,block2.out_proj,-1,out_proj,0.05002720324813725,0.04854865579114303,0.13689281729591082
11,Ours,block2.q_proj,-1,q_proj,0.034069885465688475,0.05554509344715052,0.12366774235579299
11,Ours,block2.v_proj,-1,v_proj,0.03459923197184673,0.036146720924281846,0.14178223133704593
11,Ours,block3.k_proj,-1,k_proj,0.03519634180641239,0.06173827064350883,0.10685031368637045
11,Ours,block3.out_proj,-1,out_proj,0.053413610649042896,0.035659683003563016,0.13001722880142852
11,Ours,block3.q_proj,-1,q_proj,0.035490208175494024,0.05176449893285376,0.10115655761392793
11,Ours,block3.v_proj,-1,v_proj,0.035865388852001405,0.0340553603347107,0.13091514641144186
11,Ours,block4.k_proj,-1,k_proj,0.038352568359429344,0.04341979612185925,0.13540466106154941
11,Ours,block4.out_proj,-1,out_proj,0.061606221552336915,0.034324619337549794,0.12116818684624925
11,Ours,block4.q_proj,-1,q_proj,0.038267330652625955,0.04121512699361579,0.11470423155130503
11,Ours,block4.v_proj,-1,v_proj,0.03845899593581142,0.03375340496012005,0.12937202667303713
11,Ours,block5.k_proj,-1,k_proj,0.04042754167271979,0.050725782919612036,0.15729805977192562
